牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
C40R,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,高级优质非合金钢,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15260,1526,,,,,,,,,,
Ct1kn,GOST 380-1994 普通碳素钢牌号,碳钢,,,,,,,,,,,,,,
SUM12,JIS G 4804-1999 易切削碳钢,碳钢,,,,,易切削性,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢  易切削钢,,G11190,1119,易切削性,,,,,,,,,
Y45MnSPb,GB /T 8731-2008 易切削结构钢,碳钢,铅系易切削钢,本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品,,,,U72458,,,,,,,,
SWCH 10R,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,沸腾钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
12CD 4,NF A 35-564-1983 钢铁制品冷成型用特殊钢棒和盘条,碳钢,,,,,,,,,,,,,,
SWRCH15A,Q/BQB 517-2018 冷镦钢盘条,碳钢,铝镇静钢,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,锻压性,,,,,,,,,
1006,SAE J 403-2001 碳素钢化学成分,碳钢,,,G10060,,,,,,,,,,,
T8MnA,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T01083,,,,,,,,
C45E,DIN EN 10269-2014 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢,—本欧洲标准规定了非合金和合金(包括不锈钢)钢和镍合金制成的在高温和/或低温下具有指定性能的紧固件的半成品、棒材的要求。 —本标准的要求也适用于成品紧固件 —EN 10021中的一般交货技术条件也适用于按照本标准提供的产品。,,,,,1.1191,,7.85 g/cm3,,,,,
P275NH,EN 10028-3-2017 压力平板钢产品-第3部分:可焊接细晶粒钢，正火,碳钢,,本标准所涵盖的钢种有四种质量等级（原件6.1.1）： ①室温等级（P ... N） ②高温等级(P...NH) ③低温等级 (P...NL1) ④特殊低温等级(P...NL2) P275NH~P355NH是优质合金钢，P275NL2、P420NH~P460NL2是特殊合金钢（见原件6.1.2）,,,,,,1.0487,,,,,,
1019,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10190,,,,,,,,,,,
Cm50,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1241,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10230,1023,锻压性,,,,,,,,,
70Mn,GB /T 699-2015 优质碳素结构钢,碳钢,高碳锰钢,淬透性比70钢好，经热处理后可获得比70钢更好的强度，热处理时有过热敏感性和回火脆性、易产生淬火裂纹。冷塑性变形能力差，焊接性差。 承受大应力，磨损条件下的工作零件，如各种弹簧圈.弹簧垫圈.止推环.锁紧圈.离合器盘，用于制造耐磨、载荷较大的机械零件，如各种弹簧圈、弹簧垫圈、止推环、离合器盘、锁紧圈、盘簧等。 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,强度  硬度  弹性,U21702,,,,,,,,
C70U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.152,,7.85 g/cm3,,,,,
A108 Grade 1035,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10350,,,,,,,,,,,
42Mn6E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,,,,,
M1040,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,商用优质钢,用于锻造和一般工程. 本标准未规定该牌号的机械性能 本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5028-N5,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
C60E4,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  优质非合金结构钢,,,,,,,,,,,,,
A194 Grade 2,ASTM A194/194M-2016 高温、高压或高温高压环境用螺栓用碳素钢、合金钢和不锈钢螺母标准规范,碳钢,,工艺： ⓐ 1和2螺母应是热锻或冷锻的，或用经热锻、热轧、冷拉棒料加工制成。 ⓑ用棒材成形或加工制成的所有1和2螺母，应在至少1000°F（538“C）的温度下消除应力，以下情况除外： 经热锻制造的螺母 经热锻或热轧棒材加工制成的螺母 经热锻/热轧并冷精整（最大断面收缩率10%）棒料加工制成的螺母 经冷拉和最低温度538°C退火棒料加工制成的螺母 本标准的适用范围 ①本标准适用于规格1/4~4英寸以及M6~M100的各种碳钢、合金钢和马氏体不锈钢螺母。也适用于规格1/4英寸和M6及以上的奥氏体不锈钢螺母。这些螺母适用于高温或高压或高温高压环境。未经买方允许不得更换螺母等级。 ②制作螺母的棒料应热锻。材料可以通过无心磨削或冷拉进一步加工。奥氏体不锈钢可以固溶处理或退火并应变硬化。当按照补充要求S1订退火及应变硬化的奥氏体不锈钢时，买方应特别注意是一定要完全理解补充要求S1和附录X1的内容。 ③补充要求供选择使用， 只有在询价、合同和订单中规定的情况下才适用。,,,,,,,,,,,,
410,GB /T 5312-2009 船舶用碳钢和碳锰钢无疑钢管,碳钢,,,,,,U34102,,,,,,,,
S50C,JIS G 4051-2016 机械结构用碳素钢,碳钢,,,,,,,,,,,,,,
SD400,KS D 3504-2011 钢筋混凝土用钢筋,碳钢,,,,,,,,,,,,,,
P235GH,EN 10273-2000 有特定高温性能的压力装置用热轧可焊接钢棒,碳钢,,,,,,,,1.0345,,,,,,
Q215AF,GB /T 700-2006 碳素结构钢,碳钢,沸腾钢  质量等级A  碳素结构钢,性能与Q195相似，但塑性稍差。 用途举例： 薄板、镀锌钢丝、钢丝网、焊管、地脚螺栓、铆钉、垫圈、犁板以及渗碳零件、焊接件等。 本标准适用于一般交货状态使用，通常用于焊接、铆接、栓接工程结构用热轧钢板、钢带、型钢和钢棒 ①牌号后缀字母：A、B、C、D表示质量等级 ②F--沸腾钢；Z--镇静钢；TZ--特殊镇静钢 在牌号组成表示中，Z与TZ符号可以省略不写,,,焊接性  渗碳性,U12150,,,,,Q215,,,
Q235GJ-E,YB 4104-2000 高层建筑结构用钢板,碳钢,,,,,,,,,,,,,,
65,GOST 14959-1979 轧制弹簧碳钢和合金钢规范,碳钢,镇静钢,65钢用于制造弹簧、弹簧圈、各种垫圈等标准件。,,,强度  硬度  弹性,,,,,,,,,
ML25,GB /T 5953-1999 冷镦钢丝,碳钢,,,,,,,,,,,,,,
S40C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10250,M1025,,,,,,,,,,
P265GH,EN 10222-2-2017 压力用途用钢制锻件 第2部分 具有高温特性的铁素体和马氏体钢,碳钢,,,,,,,,1.0425,,,,,,
E5024-1,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
Ck15,DIN 17210-1986 渗碳钢.交货技术条件,碳钢,,本标准适用于原件表2列出的表面硬化钢制造的如下形式的产品： ——毛坯，例如初轧坯、扁坯、棒料毛坯； ——热轧钢丝； ——热轧或锻制的钢棒（圆钢、方钢、六角钢、八角钢和扁钢）； ——热轧宽扁钢； ——热轧或冷轧钢板或带钢 ——自由锻件和模锻件,,,,,1.1141,,,,,,,
DH420,GB 712-2011 船舶及海洋工程用结构钢,碳钢,超高强度结构钢,,,,,,,,,,,,,
H15Mn,GB /T 14957-1994 熔化焊用钢丝,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,高锰碳钢,,G15270,1527,,,,,,1027,,,,
IFI-10B21,"ASTM F2282-2018 机械紧固件用碳素和合金钢丝, 杆材和棒材质量保证要求标准规范",碳钢,,该牌号为工业紧固件协会(IFI)的材料等级,,,,,,,,,,,,
C10D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.031,,,,,,
ML18Mn,GB /T 6478-2015 冷镦和冷挤压用钢,碳钢,铆螺钢,表面硬化型冷镦和冷挤压用钢 该牌号钢材机械性能在本标准中未列入，由供方报实测值，并在质量证书中注明。 1、本标准适用于公称直径为5mm~60mm的热轧盘条和公称直径为12mm~100mm的热轧圆钢。 2、钢材交货状态：一般以热轧状态交货。经供需双方协商，并在合同中注明，也可以退火状态交货。 3、尺寸、外形、重量及允许偏差： 热轧圆钢应符合GB/T 702的规定；热轧盘条应符合GB/T 14981-2009的规定，其中尺寸和外形允许偏差应符合B级精度的规定；根据供需双方协商，可供应其他规格及精度的圆钢和盘条,,,锻压性,U41188,,,,,,,,
55,GB /T 699-1999 优质碳素结构钢,碳钢,,强度和硬度较50钢高，弹性性能好，塑性和韧性低，可加工性中等，焊接性差、淬透性较差，水淬具有形成裂纹的倾向。多在正火或调质处理后使用。 用于制造高强度、高弹性、高耐磨性机件、如齿轮、连杆、轮圈、轮缘、机车轮箍、扁弹簧、热轧轧辊等 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,强度  硬度,U20552,,,,,,,,
1006,ASTM A 29/A 29M-05 热锻碳钢和合金棒材的标准,碳钢,,注： 1.要求硅Si含量，通常使用下列范围或极限：0.1%max；0.07~0.15%；0.1~0.2%；0.15~0.35%；0.2~0.4%或0.3~0.6% 2.需要添加Cu含量≤0.20%,G10060,,,,,,,,,,,
SWRCH38K,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
P355NB,EN 10120-2008 焊接气瓶用钢板和钢带,碳钢,,,,,,,,1.0557,,,,,,
C25C,ISO 4954-2018 冷镦和冷挤压用钢,碳钢,,,,,,,,,,,,,,
1566,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G15660,,,,,,,,,,,
C40,DIN EN ISO 683-1-2018 热处理钢、合金钢和易切削钢 -- 第1部分：调质非合金钢,碳钢,优质非合金钢,,,,,,,,,,,,,
SUM11,JIS G 4804-1999 易切削碳钢,碳钢,,,,,易切削性,,,,,,,,,
Ct1nC,GOST 380-1994 普通碳素钢牌号,碳钢,,,,,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,硫处理碳素钢,,G11320,1132,,,,,,,,,,
SWCH 10A,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
1022,SAE J 403-2001 碳素钢化学成分,碳钢,高锰低碳渗透钢,性能与15Mn钢相似。可用于制造自攻螺钉等紧固件,G10220,,焊接性,,,,,C1022,,,,
300Y,ISO 13887-2017 具有更高的屈服强度和更好的成形性冷轧薄钢板,碳钢,,,,,,,,,,,,,,
T9A,GB /T 1298-2008 碳素工具钢,碳钢,高级优质钢,,,,,T00093,,,,,,,,
1020,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10200,,,,,,,,,,,
Ck50,DIN 17200-1987 调质钢材的供货技术条件,碳钢,高级优质非合金钢,本标准适用于： ——半成品，例如：初轧坯、扁钢坯、棒料坯。 ——热轧钢 ——热轧或锻造钢棒（圆钢、四方钢、六角钢、八角钢和扁钢） ——热轧宽钢带 ——热轧或冷轧钢板和钢带 ——自由锻锻件和模锻锻件,,,,,1.1206,,,,,,,
CC21A,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,非热处理型冷镦钢  铝镇静钢,,,,,,,,,A5Al,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10250,1025,,,,,,,,,,
C8C,EN 10263-2-2017 盘条，棒材和线材冷镦和冷挤压 钢- 第2部分：冷加工后的交货技术条件不适用于热处理钢,碳钢,非热处理钢,,,,,,,1.0213,,,,,,
70Mn,GB /T 699-1999 优质碳素结构钢,碳钢,,淬透性比70钢好，经热处理后可获得比70钢更好的强度，热处理时有过热敏感性和回火脆性、易产生淬火裂纹。冷塑性变形能力差，焊接性差。 承受大应力，磨损条件下的工作零件，如各种弹簧圈.弹簧垫圈.止推环.锁紧圈.离合器盘，用于制造耐磨、载荷较大的机械零件，如各种弹簧圈、弹簧垫圈、止推环、离合器盘、锁紧圈、盘簧等。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,强度  硬度  弹性,U21702,,,,,,,,
15,GB /T 699-2015 优质碳素结构钢,碳钢,优质碳素结构钢,强度、硬度、塑性与10/10F钢相近。为改善其加工性需进行正火或水韧处理，以适当提高硬度。韧性、焊接性能好，淬透性和淬硬性均低。 用于受力不大，形状简单，但韧性要求较高或焊接性较好的中、小结构件，以及渗碳零件、机械紧固件、冲模锻件和需要热处理的低载荷零件，如螺栓、螺钉、法兰盘及化工机械用贮器、蒸汽锅等，也可制作抽芯铆钉钉芯。 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,易切削性  焊接性,U20152,,,,,15#,,,
C80U,DIN EN ISO 4957-2018 工具钢,碳钢,冷作非合金工具钢,,,,,,1.1525,,7.85 g/cm3,,,,,
A108 Grade 1040,ASTM A108-1999 冷成形钢棒品质的标准规范,碳钢,,本规范涵盖按化学成分生产的标准质量冷加工碳钢棒。标准质量的冷加工棒材适用于热处理，加工成部件，或在成品状态下使用，如轴系，或建筑应用，或用于其他类似用途。钢材的等级由等级编号或化学成分确定。,G10400,,,,,,,,,,,
37Cr2E,ISO 4954-1993 冷镦和冷挤压用钢,碳钢,表面硬化型冷镦钢,,,,,,,,,C12,,,,
C10E,EN 10277-2018 光亮产品-发货技术条件,碳钢,非合金表面硬化钢,,,,,,,1.1121,,,,,,
